"No.","Time","Source","Destination","Protocol","Length","Info"
"6635","50.830656","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=575187 Win=2560 Len=0 TSval=280107504 TSecr=3421644957"
"6636","50.830720","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=577843 Win=2560 Len=0 TSval=280107504 TSecr=3421644957"
"6637","50.843804","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=577843 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6638","50.843804","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=579171 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6639","50.843963","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=580499 Win=2560 Len=0 TSval=280107517 TSecr=3421644957"
"6640","50.929858","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=580499 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6641","50.929858","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=581827 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6642","50.929858","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=583155 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6643","50.930158","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=583155 Win=2560 Len=0 TSval=280107604 TSecr=3421644957"
"6644","50.954797","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=584483 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6645","50.954797","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=585811 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6646","50.954797","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=587139 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6647","50.954846","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=588467 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6648","50.954886","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=585811 Win=2560 Len=0 TSval=280107628 TSecr=3421644957"
"6649","50.954921","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=588467 Win=2560 Len=0 TSval=280107628 TSecr=3421644957"
"6650","50.986201","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=589795 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6651","50.986201","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=591123 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6652","50.986201","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=592451 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6653","50.986497","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=591123 Win=2560 Len=0 TSval=280107660 TSecr=3421644957"
